"uid","namedLocation","domainID","siteID","plotID","setDate","collectDate","eventID","processingDate","massSampleIDList","massSampleMixtureID","cnSampleID","cnSampleCode","ligninSampleID","ligninSampleBarcode","archiveSampleID","archiveSampleBarcode","bgcArchiveMass","toxicodendronPossible","remarks","processedBy","publicationDate","release"
"9e4a157d-93cc-4d83-8f40-323d6a4cba4d","BART_034.basePlot.ltr","D01","BART","BART_034",2016-09-19,2016-10-10,NA,2016-11-17,"NEON.LTR.BART034531.20161010.LVS|NEON.LTR.BART034451.20161010.LVS","NEON.LTR.BART034.20161010.LVS","NEON.LTR.BART034.20161010.LVS.CN",NA,"NEON.LTR.BART034.20161010.LVS.LIG",NA,"NEON.LTR.BART034.20161010.LVS.AR",NA,NA,NA,NA,"mday@field-ops.org","20210114T175312Z","RELEASE-2021"
"bbc865ab-ac07-421b-8f48-eb346efdf1f1","BART_071.basePlot.ltr","D01","BART","BART_071",2016-09-19,2016-10-10,NA,2016-11-17,"NEON.LTR.BART071382.20161010.LVS|NEON.LTR.BART071952.20161010.LVS","NEON.LTR.BART071.20161010.LVS","NEON.LTR.BART071.20161010.LVS.CN",NA,"NEON.LTR.BART071.20161010.LVS.LIG",NA,"NEON.LTR.BART071.20161010.LVS.AR",NA,NA,NA,NA,"mday@field-ops.org","20210114T175312Z","RELEASE-2021"
"d2bac2cd-863d-4557-9f84-0b5aee55c075","BART_032.basePlot.ltr","D01","BART","BART_032",2016-09-19,2016-10-10,NA,2016-11-17,"NEON.LTR.BART032293.20161010.NDL","NEON.LTR.BART032.20161010.NDL","NEON.LTR.BART032.20161010.NDL.CN",NA,"NEON.LTR.BART032.20161010.NDL.LIG",NA,"NEON.LTR.BART032.20161010.NDL.AR",NA,NA,NA,NA,"mday@field-ops.org","20210114T175312Z","RELEASE-2021"
"5365f376-9207-436d-874e-86583ea28f89","BART_039.basePlot.ltr","D01","BART","BART_039",2016-09-19,2016-10-10,NA,2016-11-17,"NEON.LTR.BART039930.20161010.LVS","NEON.LTR.BART039.20161010.LVS","NEON.LTR.BART039.20161010.LVS.CN",NA,"NEON.LTR.BART039.20161010.LVS.LIG",NA,"NEON.LTR.BART039.20161010.LVS.AR",NA,NA,NA,NA,"mday@field-ops.org","20210114T175312Z","RELEASE-2021"
"297d6670-41e2-46d7-b099-772e8aa5ccc2","BART_073.basePlot.ltr","D01","BART","BART_073",2016-09-19,2016-10-10,NA,2016-11-17,"NEON.LTR.BART073409.20161010.LVS|NEON.LTR.BART073539.20161010.LVS","NEON.LTR.BART073.20161010.LVS","NEON.LTR.BART073.20161010.LVS.CN",NA,"NEON.LTR.BART073.20161010.LVS.LIG",NA,"NEON.LTR.BART073.20161010.LVS.AR",NA,NA,NA,NA,"mday@field-ops.org","20210114T175312Z","RELEASE-2021"
"7d13aaef-c87d-4a22-8ddc-cf9578f34e81","BART_039.basePlot.ltr","D01","BART","BART_039",2016-09-19,2016-10-10,NA,2016-11-17,"NEON.LTR.BART039930.20161010.NDL","NEON.LTR.BART039.20161010.NDL","NEON.LTR.BART039.20161010.NDL.CN",NA,"NEON.LTR.BART039.20161010.NDL.LIG",NA,"NEON.LTR.BART039.20161010.NDL.AR",NA,NA,NA,NA,"mday@field-ops.org","20210114T175312Z","RELEASE-2021"
"41331334-8b7e-4162-9637-cdfcb8c10c96","BART_041.basePlot.ltr","D01","BART","BART_041",2016-09-19,2016-10-10,NA,2016-11-17,"NEON.LTR.BART041292.20161010.LVS","NEON.LTR.BART041.20161010.LVS","NEON.LTR.BART041.20161010.LVS.CN",NA,"NEON.LTR.BART041.20161010.LVS.LIG",NA,"NEON.LTR.BART041.20161010.LVS.AR",NA,NA,NA,NA,"mday@field-ops.org","20210114T175312Z","RELEASE-2021"
"6d4a164f-2db6-4492-a01c-c3d6a088681e","BART_073.basePlot.ltr","D01","BART","BART_073",2016-09-19,2016-10-10,NA,2016-11-17,"NEON.LTR.BART073409.20161010.NDL|NEON.LTR.BART073539.20161010.NDL","NEON.LTR.BART073.20161010.NDL","NEON.LTR.BART073.20161010.NDL.CN",NA,"NEON.LTR.BART073.20161010.NDL.LIG",NA,"NEON.LTR.BART073.20161010.NDL.AR",NA,NA,NA,NA,"mday@field-ops.org","20210114T175312Z","RELEASE-2021"
"4cd91a6e-1a66-4b6a-8c0f-d31de81856d4","BART_041.basePlot.ltr","D01","BART","BART_041",2016-09-19,2016-10-10,NA,2016-11-17,"NEON.LTR.BART041292.20161010.NDL","NEON.LTR.BART041.20161010.NDL","NEON.LTR.BART041.20161010.NDL.CN",NA,"NEON.LTR.BART041.20161010.NDL.LIG",NA,"NEON.LTR.BART041.20161010.NDL.AR",NA,NA,NA,NA,"mday@field-ops.org","20210114T175312Z","RELEASE-2021"
"a3bb7261-a5ca-4670-87c9-dd1e6079b5ba","BART_071.basePlot.ltr","D01","BART","BART_071",2016-09-19,2016-10-10,NA,2016-11-17,"NEON.LTR.BART071382.20161010.NDL|NEON.LTR.BART071952.20161010.NDL","NEON.LTR.BART071.20161010.NDL","NEON.LTR.BART071.20161010.NDL.CN",NA,"NEON.LTR.BART071.20161010.NDL.LIG",NA,"NEON.LTR.BART071.20161010.NDL.AR",NA,NA,NA,NA,"mday@field-ops.org","20210114T175312Z","RELEASE-2021"
"67a1cc37-106d-4862-8a5e-ef57b2ba88ec","BART_032.basePlot.ltr","D01","BART","BART_032",2016-09-19,2016-10-10,NA,2016-11-17,"NEON.LTR.BART032293.20161010.LVS","NEON.LTR.BART032.20161010.LVS","NEON.LTR.BART032.20161010.LVS.CN",NA,"NEON.LTR.BART032.20161010.LVS.LIG",NA,"NEON.LTR.BART032.20161010.LVS.AR",NA,NA,NA,NA,"mday@field-ops.org","20210114T175312Z","RELEASE-2021"
"5f11f53b-de73-4f8c-ad73-be144c6b80c9","BART_070.basePlot.ltr","D01","BART","BART_070",2016-09-19,2016-10-11,NA,2016-11-16,"NEON.LTR.BART070790.20161011.NDL|NEON.LTR.BART070553.20161011.NDL","NEON.LTR.BART070.20161011.NDL","NEON.LTR.BART070.20161011.NDL.CN",NA,NA,NA,"NEON.LTR.BART070.20161011.NDL.AR",NA,NA,NA,NA,"mday@field-ops.org","20210114T175312Z","RELEASE-2021"
"cde8f088-a299-43b0-8f87-8c3cc6646b1b","BART_033.basePlot.ltr","D01","BART","BART_033",2016-09-19,2016-10-11,NA,2016-11-17,"NEON.LTR.BART033923.20161011.LVS|NEON.LTR.BART033453.20161011.LVS","NEON.LTR.BART033.20161011.LVS","NEON.LTR.BART033.20161011.LVS.CN",NA,"NEON.LTR.BART033.20161011.LVS.LIG",NA,"NEON.LTR.BART033.20161011.LVS.AR",NA,NA,NA,NA,"mday@field-ops.org","20210114T175312Z","RELEASE-2021"
"ce0d237b-4562-4a25-8497-b1da6997e7da","BART_033.basePlot.ltr","D01","BART","BART_033",2016-09-19,2016-10-11,NA,2016-11-17,"NEON.LTR.BART033453.20161011.NDL|NEON.LTR.BART033923.20161011.NDL","NEON.LTR.BART033.20161011.NDL","NEON.LTR.BART033.20161011.NDL.CN",NA,"NEON.LTR.BART033.20161011.NDL.LIG",NA,"NEON.LTR.BART033.20161011.NDL.AR",NA,NA,NA,NA,"mday@field-ops.org","20210114T175312Z","RELEASE-2021"
"4e6f16e9-21fc-4a2e-a1d9-5a90de311da4","BART_070.basePlot.ltr","D01","BART","BART_070",2016-09-19,2016-10-11,NA,2016-11-17,"NEON.LTR.BART070553.20161011.LVS|NEON.LTR.BART070790.20161011.LVS","NEON.LTR.BART070.20161011.LVS","NEON.LTR.BART070.20161011.LVS.CN",NA,"NEON.LTR.BART070.20161011.LVS.LIG",NA,"NEON.LTR.BART070.20161011.LVS.AR",NA,NA,NA,NA,"mday@field-ops.org","20210114T175312Z","RELEASE-2021"
"9b409c21-62f0-4490-9018-c5e1d1e7d0a4","BART_051.basePlot.ltr","D01","BART","BART_051",2016-09-20,2016-10-10,NA,2016-11-17,"NEON.LTR.BART051574.20161010.LVS","NEON.LTR.BART051.20161010.LVS","NEON.LTR.BART051.20161010.LVS.CN",NA,"NEON.LTR.BART051.20161010.LVS.LIG",NA,"NEON.LTR.BART051.20161010.LVS.AR",NA,NA,NA,NA,"mday@field-ops.org","20210114T175312Z","RELEASE-2021"
"beb7aff9-ab78-43d9-af6e-9579da1a2028","BART_047.basePlot.ltr","D01","BART","BART_047",2016-09-20,2016-10-10,NA,2016-11-17,"NEON.LTR.BART047046.20161010.LVS|NEON.LTR.BART047864.20161010.LVS","NEON.LTR.BART047.20161010.LVS","NEON.LTR.BART047.20161010.LVS.CN",NA,"NEON.LTR.BART047.20161010.LVS.LIG",NA,"NEON.LTR.BART047.20161010.LVS.AR",NA,NA,NA,NA,"mday@field-ops.org","20210114T175312Z","RELEASE-2021"
"d4a883e7-b0c2-4149-9b52-caca735f64e3","BART_040.basePlot.ltr","D01","BART","BART_040",2016-09-20,2016-10-10,NA,2016-11-17,"NEON.LTR.BART040158.20161010.LVS|NEON.LTR.BART040884.20161010.LVS","NEON.LTR.BART040.20161010.LVS","NEON.LTR.BART040.20161010.LVS.CN",NA,"NEON.LTR.BART040.20161010.LVS.LIG",NA,"NEON.LTR.BART040.20161010.LVS.AR",NA,NA,NA,NA,"mday@field-ops.org","20210114T175312Z","RELEASE-2021"
